PostCode,Neighbourhood,Location
Dublin 1,Abbey Street,"53.3486882, -6.2578235"
Dublin 1,Amiens street,"53.3528355, -6.2487534"
Dublin 1,Capel street,"53.3474219, -6.2684092"
Dublin 1,Dorset street,"53.3585094, -6.2627738"
Dublin 1,Henry street,"53.3495488, -6.2619787"
Dublin 1,Mountjoy square,"53.3566075, -6.25751561135084"
Dublin 1,Marlborough street,"53.3515564, -6.2588156"
Dublin 1,North wall,"53.3489554, -6.2396078"
Dublin 1,O'connell street,"53.3509547, -6.2605881"
Dublin 1,Parnell square,"53.3538099, -6.2651306"
Dublin 1,Talbot street,"53.350939, -6.2531516"
Dublin 2,Merrion square,"53.3401408, -6.2476498"
Dublin 2,Temple bar,"53.3456018, -6.2628751"
Dublin 2,Grafton street,"53.3444255, -6.2594708"
Dublin 2,Dame street,"53.3441352, -6.2669948"
Dublin 2,Leeson street,"53.3355028, -6.2562766"
Dublin 2,Wexford street,"53.3369777, -6.2656096"
Dublin 2,St.Stephen's green,"53.33798975, -6.25907303446186"
Dublin 2,Georges Street,"53.3424905, -6.2646393"
Dublin 2,Camden Street,"53.3339601, -6.2653101"
Dublin 3,Ballybough,"53.3613503, -6.2461912"
Dublin 3,North strand,"53.3584282, -6.2416181"
Dublin 3,Clonliffe,"53.3640374, -6.25217670737253"
Dublin 3,Clontarf,"53.3608138, -6.1968538"
Dublin 3,Dollymount,"53.3674578, -6.1674246"
Dublin 3,East wall,"53.3540688, -6.233519"
Dublin 3,East point,"53.358585, -6.228271"
Dublin 3,Fairview,"53.3628457, -6.2366557"
Dublin 3,Killester,"53.3712142, -6.2062409"
Dublin 3,Marino,"53.3663095, -6.2347491"
Dublin 4,Ballsbridge,"53.3291947, -6.2313316"
Dublin 4,Belfield,"53.3070621, -6.22532784688726"
Dublin 4,Donnybrook,"53.32728265, -6.22183601111855"
Dublin 4,Irishtown,"53.3380806, -6.2221223"
Dublin 4,Merrion,"53.3184896, -6.20904040253212"
Dublin 4,Pembroke,"53.3269456, -6.23737631481652"
Dublin 4,Ringsend,"53.341944, -6.226389"
Dublin 4,Sandymount,"53.32796935, -6.22092061852887"
Dublin 4,Landsdowne Road,"53.334094, -6.230403"
Dublin 4,South Lotts Road,"53.3375444, -6.2338993"
Dublin 5,Artane,"53.3825, -6.2025"
