PostCode,Location
Dublin 7,"53.361571, -6.291803"
Dublin 18,"53.24093525, -6.18334533049005"
Dublin,"53.3497645, -6.2602732"
Co Dublin,"53.3605505, -6.28446550135915"
Dublin 12,"53.40642945, -6.28710147367475"
Dublin 24,"53.32052905, -6.32882414209099"
Dublin 3,"53.3497645, -6.2602732"
Dublin 9,"53.2479888, -6.42434989821663"
Dublin 15,"53.32052905, -6.32882414209099"
Dublin 11,"53.3612231, -6.18546680600004"
Dublin 16,"53.40642945, -6.28710147367475"
Dublin 4,"53.3860497, -6.24557708531776"
Dublin 5,"53.40642945, -6.28710147367475"
Dublin 8,"53.32052905, -6.32882414209099"
Dublin 1,"53.411988259208, -6.37815817337042"
Dublin 13,"53.3866136, -6.29262693229377"
Dublin 22,"53.2557218, -6.29634494422328"
Dublin 2,"53.40642945, -6.28710147367475"
Dublin 20,"53.411988259208, -6.37815817337042"
Dublin 6W,"53.3860497, -6.24557708531776"
Dublin 14,"53.32052905, -6.32882414209099"
Dublin 6,"53.32746935, -6.22753692446213"
Dublin 10,"53.3497645, -6.2602732"
Dublin 17,"53.3834538, -6.18192324547357"
